politician_id	parliament_num	ed_id	pref_votes	date_member_from	date_member_to	elected_party_id	current_party_id	duration_days
	17	"NAT
"		2024-11-21		"NPP
"	NPP	
A-A-M-Bawa	12	NAT		2001-12-19	2004-02-07		UNF	780
A-A-R-Perera	10	GAM	73508	1994-08-25	2000-08-18	UNP	UNP	2185
A-A-Wijethunga	12	RAT	43081	2001-12-19	2004-02-07	UNF	UNF	780
A-A-Wijethunga	15	RAT	67841	2015-09-01		UNP	UNP	
A-Aravind-Kumar	15	BAD	53741	2015-09-01		UCPF	UCPF	
A-Aravind-Kumar	16	BAD	45497	2020-08-20		UCPF	UCPF	
A-C-S-Hameed	9	KAN	36375	1989-03-09	1994-06-24	UNP	UNP	1933
A-Chandranehru	12	AMP	26282	2001-12-19	2004-02-07	TNA	TNA	780
A-D-Champika-Premadasa	11	KEG	47342	2000-10-18	2001-10-10	UNP	UNP	357
A-D-Champika-Premadasa	12	KEG	57249	2001-12-19	2004-02-07	UNF	UNF	780
A-D-Champika-Premadasa	13	KEG	44391	2004-04-22	2010-02-09	UNF	UNF	2119
A-D-Champika-Premadasa	14	KEG	40914	2010-04-22	2015-06-26	UNP	UNP	1891
A-D-Champika-Premadasa	15	KEG	50695	2015-09-01		UNP	UNP	
A-D-D-Mudiyanselage	9	NUW	23418	1989-03-09	1994-06-24			1933
A-D-Mahavithanaarachchige	9	KAN	53396	1989-03-09	1989-06-25	UNP	UNP	108
A-D-R-Tissa	9	NUW	35375	1989-03-09	1994-06-24	UNP	UNP	1933
A-D-R-Tissa	10	NUW	40513	1994-08-25	2000-08-18	UNP	UNP	2185
A-D-Wanniarachchi	11	RAT	39972	2000-10-18	2001-10-10	PA	PA	357
A-D-Wickremasinghe	9	MTR	9579	1989-03-09	1994-06-24	UNP	UNP	1933
A-H-M-Alavi	10	KUR	52381	1994-08-25	2000-08-18	UNP	UNP	2185
A-H-M-Azwer	9	NAT		1989-03-09	1994-06-24			1933
A-H-M-Azwer	11	NAT		2000-10-18	2001-10-10	UNP	UNP	357
A-H-M-Azwer	12	NAT		2001-12-19	2004-02-07	UNF	UNF	780
A-H-M-Azwer	14	NAT		2010-04-22	2014-11-28	SLFP	SLFP	1681
A-H-M-Fowzie	10	COL	72294	1994-08-25	2000-08-18	PA	PA	2185
A-H-M-Fowzie	11	COL	100200	2000-10-18	2001-10-10	PA	PA	357
A-H-M-Fowzie	12	COL	103817	2001-12-19	2004-02-07	PA	PA	780
A-H-M-Fowzie	13	COL	49719	2004-04-22	2010-02-09	UPFA	UPFA	2119
A-H-M-Fowzie	14	COL	51641	2010-04-22	2015-06-26	SLFP	SLFP	1891
A-H-M-Fowzie	15	NAT		2015-09-01		SLFP	SLFP	
A-H-M-Fowzie	16	COL		2023-01-19		SJB	SJB	
A-J-Chandrawansha	10	KUR	51691	1994-08-25	2000-08-18	UNP	UNP	2185
A-K-Thewarapperuma	9	AMP	21751	1989-03-09	1994-06-24			1933
A-K-Thewarapperuma	12	AMP	26361	2001-12-19	2004-02-07	PA	PA	780
A-L-M-Athaullah	13	AMP	39773	2004-04-22	2010-02-09	UPFA	UPFA	2119
A-L-M-Athaullah	14	AMP	36943	2010-04-22	2015-06-26	NC	NC	1891
A-L-M-Athaullah	16	AMP	35697	2020-08-20		NC	NC	
A-L-M-Hajrath	12	NAT		2001-12-19	2004-02-07	UNF	UNF	780
A-L-M-Nazeer	15	NAT		2018-02-01		SLMC	SLMC	
A-M-D-Rajan	10	NAT		1994-08-25	2000-08-18	UNP	PA	2185
A-M-Jayawardena	10	MON	27080	1994-08-25	2000-08-18	PA	PA	2185
A-M-Jayawardena	17	"MON
"	105107	2024-11-21		"NPP
"	NPP	
A-M-M-Abeykoon	9	KAN	26881	1989-03-09	1994-06-24			1933
A-M-M-Naoshad	13	AMP	19192	2008-04-09	2010-02-09		UNF	671
A-M-Munidasa-Premachandra	9	KUR	32699	1989-03-09	1994-06-24			1933
A-M-Munidasa-Premachandra	10	KUR	58293	1994-08-25	2000-08-18	PA	PA	2185
A-M-Munidasa-Premachandra	11	KUR	48905	2000-10-18	2001-10-10	PA	PA	357
A-M-P-Upali	9	KUR	41691	1989-03-09	1994-06-24	UNP	UNP	1933
A-M-P-Upali	10	KUR	54881	1994-08-25	2000-08-18	UNP	UNP	2185
A-M-S-Adhikari	9	ANU	25617	1989-03-09	1994-06-24	UNP	UNP	1933
A-M-S-Adhikari	10	ANU	44650	1994-08-25	2000-08-18	UNP	UNP	2185
A-M-U-S-Dunstan	9	GAL	63985	1989-03-09	1994-06-24	UNP	UNP	1933
A-M-U-S-Dunstan	10	GAL	53577	1994-08-25	2000-08-18	UNP	UNP	2185
A-P-G-Chandradasa	9	AMP	28075	1989-03-09	1994-06-24	UNP	UNP	1933
A-P-G-Chandradasa	10	AMP	40675	1994-08-25	2000-08-18	UNP	UNP	2185
A-P-G-Chandradasa	11	AMP	41420	2000-10-18	2001-10-10	UNP	UNP	357
A-P-Jagath-Pushpakumara	10	MON	34663	1994-08-25	2000-08-18	PA	PA	2185
A-P-Jagath-Pushpakumara	12	MON	32754	2001-12-19	2004-02-07	PA	PA	780
A-P-Jagath-Pushpakumara	13	MON	52887	2004-04-22	2010-02-09	UPFA	UPFA	2119
A-P-Jagath-Pushpakumara	14	MON	67903	2010-04-22	2015-06-26	SLFP	SLFP	1891
A-P-Jagath-Pushpakumara	16	MON	66176	2020-08-20		SLFP	SLFP	
A-R-A-Hafeez	15	NAT		2015-09-01	2016-01-19	SLMC	SLMC	140
A-R-M-Abdul-Cader	9	KAN	33757	1989-03-09	1994-06-24	UNP	UNP	1933
A-R-M-Abdul-Cader	10	KAN	66136	1994-08-25	2000-08-18	UNP	UNP	2185
A-R-M-Abdul-Cader	11	KAN	58375	2000-10-18	2001-10-10	UNP	UNP	357
A-R-M-Abdul-Cader	12	NAT		2001-12-19	2004-02-07	UNF	UNF	780
A-R-M-Abdul-Cader	13	KAN	89829	2004-04-22	2010-02-09	UNF	UNF	2119
