id	full_name	wiki_page	dob	dod	gender
A-A-M-Bawa	A A M Bawa				
A-A-R-Perera	A A R Perera				
A-A-Wijethunga	A A Wijethunga				
A-Aravind-Kumar	A Aravind Kumar				
A-C-S-Hameed	A C S Hameed				
A-Chandranehru	A Chandranehru				
A-D-Champika-Premadasa	A D Champika Premadasa				
A-D-D-Mudiyanselage	A D D Mudiyanselage				
A-D-Mahavithanaarachchige	A D Mahavithanaarachchige				
A-D-R-Tissa	A D R Tissa				
A-D-Wanniarachchi	A D Wanniarachchi				
A-D-Wickremasinghe	A D Wickremasinghe				
A-H-M-Alavi	A H M Alavi				
A-H-M-Azwer	A H M Azwer				
A-H-M-Fowzie	A H M Fowzie				
A-J-Chandrawansha	A J Chandrawansha				
A-K-Thewarapperuma	A K Thewarapperuma				
A-L-M-Athaullah	A L M Athaullah				
A-L-M-Hajrath	A L M Hajrath				
A-L-M-Nazeer	A L M Nazeer				
A-M-D-Rajan	A M D Rajan				
A-M-Jayawardena	A M Jayawardena				
A-M-M-Abeykoon	A M M Abeykoon				
A-M-M-Naoshad	A M M Naoshad				
A-M-Munidasa-Premachandra	A M Munidasa Premachandra				
A-M-P-Upali	A M P Upali				
A-M-S-Adhikari	A M S Adhikari				
A-M-U-S-Dunstan	A M U S Dunstan				
A-P-G-Chandradasa	A P G Chandradasa				
A-P-Jagath-Pushpakumara	A P Jagath Pushpakumara				
A-R-A-Hafeez	A R A Hafeez				
A-R-M-Abdul-Cader	A R M Abdul Cader				
A-S-P-Don	A S P Don				
A-Thangathurai	A Thangathurai				
A-Vinayagamoorthy	A Vinayagamoorthy				
Abdul-Baiz-Kamardeen	Abdul Baiz Kamardeen				
Abdul-Cader-Shahul-Hameed	Abdul Cader Shahul Hameed				
Abdul-Majeed-Mohamed-Najeeb	Abdul Majeed Mohamed Najeeb				
Abdul-Rahuman-Izak	Abdul Rahuman Izak				
Abdul-Rasak-Mansoor	Abdul Rasak Mansoor				
Abeydheera-Hary	Abeydheera Hary				
Abeyweera-Sumithra-Priyanganie	Abeyweera Sumithra Priyanganie				
Abu-Bakaar	Abu Bakaar				
Achala-Jagodage	Achala Jagodage				
Ahamed-Nazeer-Zainulabdeen	Ahamed Nazeer Zainulabdeen				
Aithurus-M-Illias	Aithurus M Illias				
Ajantha-de-Soyza	Ajantha de Soyza				
Ajith-Gihan	Ajith Gihan				
Ajith-Kumara	Ajith Kumara				
Ajith-Mannapperuma	Ajith Mannapperuma				
Ajith-Nivard-Cabraal	Ajith Nivard Cabraal				
Ajith-Perera	Ajith Perera				
Ajith-Priyadarshana	Ajith Priyadarshana				
Ajith-Rajapakse	Ajith Rajapakse				
Akila-Ellawala	Akila Ellawala				
Akila-Viraj-Kariyawasam	Akila Viraj Kariyawasam				
Akmeemana-Dayarathana	Akmeemana Dayarathana				
Akram-Ilyas	Akram Ilyas				
Alagaiah-Rasamanickam	Alagaiah Rasamanickam				
Alankarage-Victor-Suraweera	Alankarage Victor Suraweera				
Alathipody-Gunaseelan	Alathipody Gunaseelan				
Alavi-Mowlana	Alavi Mowlana				
Alawwe-Nandaloka	Alawwe Nandaloka				
Alec-Robertson	Alec Robertson				
Ali-Ameer	Ali Ameer				
Ali-Sabri-Raheem	Ali Sabri Raheem				
